country_code,Year,Month,day,month_year,total_passengers_official,Domestic,International,total_passengers_open
AUT,2015,10,1,October 2015,2279.362,51.179,2228.183,2337.504
AUT,2015,11,1,November 2015,1843.174,48.42,1794.754,1897.185
AUT,2015,12,1,December 2015,1858.999,37.286,1821.713,1899.052
AUT,2016,1,1,January 2016,1770.425,36.725,1733.7,1809.894
AUT,2016,2,1,February 2016,1780.026,40.069,1739.957,1825.035
AUT,2016,3,1,March 2016,2151.897,45.15,2106.747,2197.406
AUT,2016,4,1,April 2016,2099.28,43.443,2055.837,2144.874
AUT,2016,5,1,May 2016,2373.298,44.119,2329.179,2416.921
AUT,2016,6,1,June 2016,2450.672,47.094,2403.578,2497.202
AUT,2016,7,1,July 2016,2776.608,41.053,2735.555,2816.445
AUT,2016,8,1,August 2016,2723.254,38.659,2684.595,2759.352
AUT,2016,9,1,September 2016,2665.489,45.82,2619.669,2711.163
AUT,2016,10,1,October 2016,2398.405,46.315,2352.09,2446.976
AUT,2016,11,1,November 2016,1946.072,45.268,1900.804,1997.27
AUT,2016,12,1,December 2016,2046.085,36.863,2009.222,2085.863
AUT,2017,1,1,January 2017,1887.141,34.142,1852.999,1932.594
AUT,2017,2,1,February 2017,1867.912,37.073,1830.839,1915.609
AUT,2017,3,1,March 2017,2198.6,46.662,2151.938,2255.187
AUT,2017,4,1,April 2017,2425.716,42.999,2382.717,2472.883
AUT,2017,5,1,May 2017,2497.696,47.426,2450.27,2552.309
AUT,2017,6,1,June 2017,2614.609,48.319,2566.29,2668.422
AUT,2017,7,1,July 2017,2871.073,45.094,2825.979,2922.274
AUT,2017,8,1,August 2017,2807.833,41.742,2766.091,2851.188
AUT,2017,9,1,September 2017,2734.285,53.678,2680.607,2796.653
AUT,2017,10,1,October 2017,2424.628,49.816,2374.812,2485.035
AUT,2017,11,1,November 2017,1947.157,44.931,1902.226,2003.301
AUT,2017,12,1,December 2017,2050.629,39.666,2010.963,2098.617
BEL,2010,1,1,January 2010,1337.584,1.831,1335.753,1339.451
BEL,2010,2,1,February 2010,1397.881,2.976,1394.905,1394.747
BEL,2010,3,1,March 2010,1678.13,3.998,1674.132,1670.464
BEL,2010,4,1,April 2010,1544.861,2.777,1542.084,1534.597
BEL,2010,5,1,May 2010,2078.077,8.055,2070.022,2049.045
BEL,2010,6,1,June 2010,2093.415,7.296,2086.119,2071.52
BEL,2010,7,1,July 2010,2487.914,9.949,2477.965,2432.923
BEL,2010,8,1,August 2010,2407.821,10.508,2397.313,2345.972
BEL,2010,9,1,September 2010,2217.019,9.718,2207.301,2189.729
BEL,2010,10,1,October 2010,2141.503,3.35,2138.153,2134.476
BEL,2010,11,1,November 2010,1757.811,0.605,1757.206,1758.326
BEL,2010,12,1,December 2010,1555.748,2.405,1553.343,1555.624
BEL,2011,1,1,January 2011,1501.419,1.305,1500.114,1515.963
BEL,2011,2,1,February 2011,1472.013,1.527,1470.486,1481.969
BEL,2011,3,1,March 2011,1870.073,2.348,1867.725,1878.272
BEL,2011,4,1,April 2011,2141.705,3.661,2138.044,2141.375
BEL,2011,5,1,May 2011,2282.02,5.722,2276.298,2278.324
BEL,2011,6,1,June 2011,2303.327,5.28,2298.047,2298.843
BEL,2011,7,1,July 2011,2709.542,8.656,2700.886,2694.154
BEL,2011,8,1,August 2011,2571.801,8.994,2562.807,2556.661
BEL,2011,9,1,September 2011,2507.76,7.485,2500.275,2500.513
BEL,2011,10,1,October 2011,2259.696,3.011,2256.685,2256.635
BEL,2011,11,1,November 2011,1810.841,1.7,1809.141,1814.579
BEL,2011,12,1,December 2011,1672.498,1.446,1671.052,1679.7
BEL,2012,1,1,January 2012,1534.946,1.579,1533.367,1542.99
BEL,2012,2,1,February 2012,1586.685,2.216,1584.469,1591.182
BEL,2012,3,1,March 2012,1906.186,3.232,1902.954,1911.907
BEL,2012,4,1,April 2012,2236.235,2.342,2233.893,2230.251
BEL,2012,5,1,May 2012,2353.375,4.044,2349.331,2345.088
BEL,2012,6,1,June 2012,2408.452,4.758,2403.694,2364.784
BEL,2012,7,1,July 2012,2828.842,8.414,2820.428,2812.222
BEL,2012,8,1,August 2012,2712.545,9.429,2703.116,2638.266
BEL,2012,9,1,September 2012,2555.419,6.409,2549.01,2505.782
BEL,2012,10,1,October 2012,2276.696,1.378,2275.318,2273.956
BEL,2012,11,1,November 2012,1829.209,1.262,1827.947,1827.769
BEL,2012,12,1,December 2012,1690.925,1.105,1689.82,1698.262
BEL,2013,1,1,January 2013,1554.914,0.764,1554.15,1556.871
BEL,2013,2,1,February 2013,1555.965,0.965,1555.0,1557.459
BEL,2013,3,1,March 2013,1932.19,2.635,1929.555,1933.049
BEL,2013,4,1,April 2013,2261.127,1.909,2259.218,2259.801
BEL,2013,5,1,May 2013,2408.826,3.947,2404.879,2411.817
BEL,2013,6,1,June 2013,2460.324,4.747,2455.577,2464.391
BEL,2013,7,1,July 2013,2835.828,8.764,2827.064,2846.355
BEL,2013,8,1,August 2013,2785.575,8.887,2776.688,2795.871
BEL,2013,9,1,September 2013,2593.195,4.872,2588.323,2595.158
BEL,2013,10,1,October 2013,2342.3,1.302,2340.998,2347.456
BEL,2013,11,1,November 2013,1864.727,1.737,1862.99,1870.033
BEL,2013,12,1,December 2013,1794.956,2.526,1792.43,1806.349
BEL,2014,1,1,January 2014,1638.7,1.999,1636.701,1649.821
BEL,2014,2,1,February 2014,1608.226,2.129,1606.097,1617.59
BEL,2014,3,1,March 2014,2004.797,3.054,2001.743,2017.594
BEL,2014,4,1,April 2014,2505.099,1.683,2503.416,2513.892
BEL,2014,5,1,May 2014,2619.815,4.313,2615.502,2625.462
BEL,2014,6,1,June 2014,2683.507,3.323,2680.184,2694.562
BEL,2014,7,1,July 2014,3065.902,7.307,3058.595,3077.834
BEL,2014,8,1,August 2014,3103.037,8.623,3094.414,3117.948
BEL,2014,9,1,September 2014,2872.608,3.378,2869.23,2882.786
BEL,2014,10,1,October 2014,2618.148,0.77,2617.378,2630.256
BEL,2014,11,1,November 2014,2107.419,1.838,2105.581,2114.56
BEL,2014,12,1,December 2014,1949.0,1.78,1947.22,1960.064
BEL,2015,1,1,January 2015,1817.576,2.141,1815.435,1830.702
BEL,2015,2,1,February 2015,1856.334,1.922,1854.412,1864.51
BEL,2015,3,1,March 2015,2209.413,2.211,2207.202,2218.204
BEL,2015,4,1,April 2015,2660.132,1.32,2658.812,2660.146
BEL,2015,5,1,May 2015,2859.581,3.027,2856.554,2856.119
BEL,2015,6,1,June 2015,2855.538,2.49,2853.048,2844.405
BEL,2015,7,1,July 2015,3281.63,3.35,3278.28,3278.365
BEL,2015,8,1,August 2015,3260.405,5.217,3255.188,3260.725
BEL,2015,9,1,September 2015,3043.615,1.859,3041.756,3035.755
BEL,2015,10,1,October 2015,2823.646,0.793,2822.853,2812.576
BEL,2015,11,1,November 2015,2238.354,1.246,2237.108,2236.092
BEL,2015,12,1,December 2015,2052.617,2.398,2050.219,2054.643
BEL,2016,1,1,January 2016,1966.259,1.748,1964.511,1989.576
BEL,2016,2,1,February 2016,2089.083,1.878,2087.205,2110.524
BEL,2016,3,1,March 2016,1936.776,1.483,1935.293,1951.729
BEL,2016,4,1,April 2016,2005.251,0.483,2004.768,2008.852
BEL,2016,5,1,May 2016,2703.577,1.446,2702.131,2710.373
BEL,2016,6,1,June 2016,2736.786,0.658,2736.128,2740.242
BEL,2016,7,1,July 2016,3213.462,0.961,3212.501,3217.812
BEL,2016,8,1,August 2016,3133.437,0.794,3132.643,3136.514
BEL,2016,9,1,September 2016,2990.813,0.591,2990.222,3002.223
BEL,2016,10,1,October 2016,2767.036,0.474,2766.562,2768.788
BEL,2016,11,1,November 2016,2318.544,0.441,2318.103,2320.831
BEL,2016,12,1,December 2016,2254.808,0.775,2254.033,2258.291
BEL,2017,1,1,January 2017,2064.27,0.581,2063.689,2067.748
BEL,2017,2,1,February 2017,2083.035,0.307,2082.728,2087.793
BEL,2017,3,1,March 2017,2462.55,0.94,2461.61,2468.093
BEL,2017,4,1,April 2017,2891.115,0.956,2890.159,2896.213
BEL,2017,5,1,May 2017,2983.022,0.645,2982.377,2987.864
BEL,2017,6,1,June 2017,2986.272,0.724,2985.548,2970.502
BEL,2017,7,1,July 2017,3468.159,1.199,3466.96,3474.771
BEL,2017,8,1,August 2017,3408.657,1.013,3407.644,3407.358
BEL,2017,9,1,September 2017,3202.473,0.93,3201.543,3205.749
BEL,2017,10,1,October 2017,2982.388,0.432,2981.956,2982.958
BEL,2017,11,1,November 2017,2422.231,0.615,2421.616,2422.235
BEL,2017,12,1,December 2017,2306.321,1.508,2304.813,2308.507
BGR,2010,1,1,January 2010,273.78,8.456,265.324,285.002
BGR,2010,2,1,February 2010,242.626,10.4,232.226,254.668
BGR,2010,3,1,March 2010,273.116,12.749,260.367,288.385
BGR,2010,4,1,April 2010,245.311,12.129,233.182,261.102
BGR,2010,5,1,May 2010,424.416,15.323,409.093,449.039
BGR,2010,6,1,June 2010,794.101,20.204,773.897,826.16
BGR,2010,7,1,July 2010,1147.747,24.164,1123.583,1183.314
BGR,2010,8,1,August 2010,1168.521,25.569,1142.952,1201.126
BGR,2010,9,1,September 2010,733.968,18.662,715.306,760.899
BGR,2010,10,1,October 2010,348.654,14.752,333.902,365.957
BGR,2010,11,1,November 2010,247.081,11.346,235.735,260.801
BGR,2010,12,1,December 2010,270.002,10.16,259.842,281.879
BGR,2011,1,1,January 2011,281.19,10.988,270.202,295.175
BGR,2011,2,1,February 2011,255.29,12.819,242.471,271.98
BGR,2011,3,1,March 2011,288.958,15.802,273.156,306.209
BGR,2011,4,1,April 2011,315.771,17.138,298.633,333.85
BGR,2011,5,1,May 2011,452.652,19.675,432.977,479.622
BGR,2011,6,1,June 2011,872.497,26.194,846.303,909.059
BGR,2011,7,1,July 2011,1261.908,26.006,1235.902,1295.041
BGR,2011,8,1,August 2011,1257.769,28.979,1228.79,1291.86
BGR,2011,9,1,September 2011,806.26,23.34,782.92,836.498
BGR,2011,10,1,October 2011,339.6,12.315,327.285,353.623
BGR,2011,11,1,November 2011,245.788,5.979,239.809,253.499
BGR,2011,12,1,December 2011,274.324,6.135,268.189,283.731
BGR,2012,1,1,January 2012,276.87,5.015,271.855,285.268
BGR,2012,2,1,February 2012,248.309,5.499,242.81,256.365
BGR,2012,3,1,March 2012,288.098,14.904,273.194,306.315
BGR,2012,4,1,April 2012,318.565,16.381,302.184,337.31
BGR,2012,5,1,May 2012,438.227,18.534,419.693,461.559
BGR,2012,6,1,June 2012,946.489,25.527,920.962,978.202
BGR,2012,7,1,July 2012,1337.258,28.673,1308.585,1373.577
BGR,2012,8,1,August 2012,1306.449,29.34,1277.109,1339.765
BGR,2012,9,1,September 2012,795.693,21.596,774.097,820.579
BGR,2012,10,1,October 2012,333.363,16.793,316.57,352.073
BGR,2012,11,1,November 2012,253.041,12.465,240.576,267.871
BGR,2012,12,1,December 2012,276.741,10.657,266.084,290.585
BGR,2013,1,1,January 2013,279.656,10.138,269.518,293.622
BGR,2013,2,1,February 2013,252.029,8.534,243.495,263.715
BGR,2013,3,1,March 2013,294.684,10.313,284.371,307.941
BGR,2013,4,1,April 2013,309.296,12.658,296.638,324.52
BGR,2013,5,1,May 2013,479.412,16.307,463.105,500.058
BGR,2013,6,1,June 2013,983.674,21.515,962.159,1008.641
BGR,2013,7,1,July 2013,1349.921,25.475,1324.446,1381.011
BGR,2013,8,1,August 2013,1360.86,24.985,1335.875,1390.073
BGR,2013,9,1,September 2013,844.583,19.565,825.018,868.214
BGR,2013,10,1,October 2013,356.604,14.101,342.503,373.851
BGR,2013,11,1,November 2013,271.842,10.788,261.054,284.516
BGR,2013,12,1,December 2013,296.731,9.033,287.698,307.497
BGR,2014,1,1,January 2014,298.853,8.047,290.806,309.06
BGR,2014,2,1,February 2014,274.571,9.007,265.564,286.561
BGR,2014,3,1,March 2014,314.591,10.652,303.939,327.821
BGR,2014,4,1,April 2014,350.849,11.857,338.992,365.272
BGR,2014,5,1,May 2014,511.137,14.695,496.442,530.725
BGR,2014,6,1,June 2014,1080.83,19.327,1061.503,1105.892
BGR,2014,7,1,July 2014,1396.172,22.655,1373.517,1423.623
BGR,2014,8,1,August 2014,1452.946,23.817,1429.129,1479.627
BGR,2014,9,1,September 2014,852.992,16.423,836.569,874.947
BGR,2014,10,1,October 2014,383.929,11.692,372.237,398.195
BGR,2014,11,1,November 2014,290.55,10.016,280.534,303.743
BGR,2014,12,1,December 2014,313.277,10.118,303.159,327.588
BGR,2015,1,1,January 2015,311.991,8.851,303.14,325.887
BGR,2015,2,1,February 2015,286.718,8.64,278.078,299.249
BGR,2015,3,1,March 2015,324.201,8.815,315.386,338.471
BGR,2015,4,1,April 2015,362.523,9.84,352.683,377.332
BGR,2015,5,1,May 2015,501.317,12.201,489.116,520.32
BGR,2015,6,1,June 2015,975.825,17.771,958.054,1000.612
BGR,2015,7,1,July 2015,1390.599,22.829,1367.77,1421.711
BGR,2015,8,1,August 2015,1452.396,25.938,1426.458,1487.677
BGR,2015,9,1,September 2015,921.961,16.846,905.115,945.624
BGR,2015,10,1,October 2015,427.016,11.77,415.246,444.268
BGR,2015,11,1,November 2015,315.488,10.412,305.076,330.542
BGR,2015,12,1,December 2015,340.914,9.416,331.498,356.264
BGR,2016,1,1,January 2016,352.207,9.211,342.996,369.214
BGR,2016,2,1,February 2016,334.689,8.154,326.535,348.615
BGR,2016,3,1,March 2016,366.203,9.175,357.028,380.133
BGR,2016,4,1,April 2016,411.154,10.431,400.723,425.194
BGR,2016,5,1,May 2016,622.014,11.25,610.764,639.573
BGR,2016,6,1,June 2016,1171.437,16.766,1154.671,1195.497
BGR,2016,7,1,July 2016,1699.632,22.13,1677.502,1727.733
BGR,2016,8,1,August 2016,1684.644,24.906,1659.738,1715.987
BGR,2016,9,1,September 2016,1172.583,17.533,1155.05,1195.797
BGR,2016,10,1,October 2016,562.726,12.267,550.459,577.927
BGR,2016,11,1,November 2016,452.109,10.435,441.674,464.922
BGR,2016,12,1,December 2016,494.819,11.587,483.232,508.446
BGR,2017,1,1,January 2017,493.259,10.191,483.068,508.294
BGR,2017,2,1,February 2017,480.657,10.078,470.579,493.826
BGR,2017,3,1,March 2017,544.316,14.616,529.7,564.95
BGR,2017,4,1,April 2017,615.682,22.62,593.062,642.23
BGR,2017,5,1,May 2017,767.812,25.278,742.534,797.669
BGR,2017,6,1,June 2017,1384.824,30.479,1354.345,1422.546
BGR,2017,7,1,July 2017,1902.159,35.532,1866.627,1951.146
BGR,2017,8,1,August 2017,1882.109,35.46,1846.649,1923.941
BGR,2017,9,1,September 2017,1304.988,30.039,1274.949,1341.614
BGR,2017,10,1,October 2017,670.632,22.751,647.881,696.124
BGR,2017,11,1,November 2017,507.08,21.579,485.501,533.59
BGR,2017,12,1,December 2017,539.133,21.816,517.317,566.835
CHE,2010,1,1,January 2010,2785.005,55.655,2729.35,2875.596
CHE,2010,2,1,February 2010,2715.644,51.071,2664.573,2796.793
CHE,2010,3,1,March 2010,3201.375,63.228,3138.147,3302.429
CHE,2010,4,1,April 2010,2606.965,48.515,2558.45,2690.17
CHE,2010,5,1,May 2010,3118.248,56.646,3061.602,3223.107
CHE,2010,6,1,June 2010,3212.916,57.327,3155.589,3323.356
CHE,2010,7,1,July 2010,3709.175,61.987,3647.188,3826.124
CHE,2010,8,1,August 2010,3618.005,60.688,3557.317,3724.809
CHE,2010,9,1,September 2010,3416.506,57.734,3358.772,3522.454
CHE,2010,10,1,October 2010,3567.398,60.886,3506.512,3678.171
CHE,2010,11,1,November 2010,2795.241,52.682,2742.559,2875.896
CHE,2010,12,1,December 2010,2869.481,53.131,2816.35,2952.521
CHE,2011,1,1,January 2011,3061.425,55.13,3006.295,3085.301
CHE,2011,2,1,February 2011,2934.135,50.493,2883.642,3016.488
CHE,2011,3,1,March 2011,3386.536,63.249,3323.287,3486.651
CHE,2011,4,1,April 2011,3450.976,58.803,3392.173,3543.377
CHE,2011,5,1,May 2011,3458.412,58.74,3399.672,3550.626
CHE,2011,6,1,June 2011,3599.495,57.228,3542.267,3695.598
CHE,2011,7,1,July 2011,4129.196,62.661,4066.535,4229.356
CHE,2011,8,1,August 2011,3869.388,55.384,3814.004,3957.907
CHE,2011,9,1,September 2011,3688.245,53.978,3634.267,3773.391
CHE,2011,10,1,October 2011,3766.686,55.029,3711.657,3855.706
CHE,2011,11,1,November 2011,2910.281,50.136,2860.145,2978.213
CHE,2011,12,1,December 2011,3185.073,52.54,3132.533,3258.882
CHE,2012,1,1,January 2012,3145.106,50.429,3094.677,3230.493
CHE,2012,2,1,February 2012,3135.106,45.303,3089.803,3205.651
CHE,2012,3,1,March 2012,3624.391,59.606,3564.785,3716.007
CHE,2012,4,1,April 2012,3681.223,55.307,3625.916,3768.822
CHE,2012,5,1,May 2012,3633.333,52.318,3581.015,3717.241
CHE,2012,6,1,June 2012,3766.339,53.939,3712.4,3860.502
CHE,2012,7,1,July 2012,4239.321,58.624,4180.697,4353.525
CHE,2012,8,1,August 2012,4091.271,55.55,4035.721,4187.88
CHE,2012,9,1,September 2012,3860.268,52.653,3807.615,3952.386
CHE,2012,10,1,October 2012,3822.673,53.499,3769.174,3912.015
CHE,2012,11,1,November 2012,3017.753,46.845,2970.908,3098.274
CHE,2012,12,1,December 2012,3219.302,48.857,3170.445,3311.678
CHE,2013,1,1,January 2013,3161.475,49.481,3111.994,3256.558
CHE,2013,2,1,February 2013,3144.838,42.871,3101.967,3224.495
CHE,2013,3,1,March 2013,3788.887,58.006,3730.881,3889.558
CHE,2013,4,1,April 2013,3724.74,49.397,3675.343,3822.06
CHE,2013,5,1,May 2013,3803.698,50.189,3753.509,3906.57
CHE,2013,6,1,June 2013,3873.201,52.038,3821.163,3980.097
CHE,2013,7,1,July 2013,4312.013,55.258,4256.755,4437.917
CHE,2013,8,1,August 2013,4256.793,55.312,4201.481,4381.136
CHE,2013,9,1,September 2013,3935.6,47.573,3888.027,4037.492
CHE,2013,10,1,October 2013,3913.911,49.427,3864.484,4013.982
CHE,2013,11,1,November 2013,3024.018,43.839,2980.179,3102.319
CHE,2013,12,1,December 2013,3278.394,46.919,3231.475,3370.896
CHE,2014,1,1,January 2014,3238.296,46.113,3192.183,3331.748
CHE,2014,2,1,February 2014,3172.123,41.024,3131.099,3251.087
CHE,2014,3,1,March 2014,3760.274,54.253,3706.021,3854.076
CHE,2014,4,1,April 2014,3906.753,50.907,3855.846,4010.132
CHE,2014,5,1,May 2014,3869.086,49.013,3820.073,3972.344
CHE,2014,6,1,June 2014,4096.298,52.623,4043.675,4205.093
CHE,2014,7,1,July 2014,4497.861,54.852,4443.009,4612.142
CHE,2014,8,1,August 2014,4603.622,57.62,4546.002,4726.539
CHE,2014,9,1,September 2014,4185.618,51.723,4133.895,4285.816
CHE,2014,10,1,October 2014,4205.245,54.903,4150.342,4315.304
CHE,2014,11,1,November 2014,3148.87,45.853,3103.017,3233.122
CHE,2014,12,1,December 2014,3443.38,51.06,3392.32,3545.631
CHE,2015,1,1,January 2015,3337.185,51.14,3286.045,3440.604
CHE,2015,2,1,February 2015,3280.428,45.351,3235.077,3368.228
CHE,2015,3,1,March 2015,3889.314,58.046,3831.268,3999.422
CHE,2015,4,1,April 2015,4048.758,54.015,3994.743,4151.659
CHE,2015,5,1,May 2015,4141.957,50.545,4091.412,4245.986
CHE,2015,6,1,June 2015,4161.984,53.139,4108.845,4265.67
